kamar;bangunan;lahan;harga
4;268;350;2800000000
5;180;90;857000000
3;280;360;2200000000
4;400;310;5750000000
4;220;140;2800000000
5;120;110;1370000000
2;47;50;588000000
4;170;90;975000000
2;32;60;289000000
2;67;60;650000000
2;100;130;1075000000
2;57;60;595000000
4;150;90;1850000000
3;50;63;633000000
4;250;8000;14000000000
4;120;90;1850000000
5;200;1236;4300000000
6;200;120;1050000000
2;60;49;695000000
4;113;90;1250000000
3;90;126;1800000000
4;200;136;1150000000
3;58;90;625000000
5;120;106;960000000
2;55;82;650000000
5;500;439;11000000000
3;65;170;965000000
3;100;100;1300000000
3;150;299;3200000000
3;110;75;1750000000
2;36;74;440000000
3;100;100;600000000
2;65;30;175000000
4;260;180;3000000000
3;250;120;1275000000
6;200;111;1699000000
3;113;90;1250000000
4;140;154;1000000000
3;100;100;1850000000
7;180;98;1600000000
3;80;86;549000000
3;100;61;375000000
2;120;246;2150000000
5;300;478;6500000000
7;187;295;4500000000
5;300;210;2500000000
5;650;510;5000000000
4;250;176;2000000000
2;69;105;1637000000
6;700;354;8500000000
3;150;172;2600000000
4;150;120;1450000000
4;60;105;900000000
3;200;211;4300000000
5;400;200;2100000000
2;30;72;450000000
2;38;77;405000000
5;600;1034;8750000000
5;600;898;8000000000
4;400;267;2000000000
10;186;540;1400000000
2;80;100;850000000
3;170;132;975000000
3;65;74;820000000
5;300;200;3800000000
3;97;162;2100000000
4;110;92;940000000
3;90;55;600000000
3;78;103;775000000
5;300;386;4200000000
3;144;161;3500000000
3;60;85;750000000
2;50;60;407000000
4;95;110;1135000000
2;45;65;650000000
3;70;65;675000000
3;75;94;850000000
7;419;351;3250000000
2;50;60;500000000
2;45;125;500000000
5;120;110;1370000000
3;104;120;1225000000
3;75;101;825000000
2;40;55;225000000
3;45;60;588500000
3;150;2022;2250000000
4;482;355;5900000000
5;170;100;1200000000
6;500;300;4100000000
2;36;72;467000000
4;200;800;15000000000
2;85;120;1050000000
3;110;105;1100000000
2;56;132;1400000000
4;90;147;1500000000
3;80;80;880000000
4;286;216;2200000000
4;300;200;3700000000
4;286;216;2200000000
2;36;62;432100000
4;200;162;2300000000
3;150;146;2450000000
6;400;308;2500000000
3;99;165;2320000000
3;120;110;1012000000
3;100;100;1850000000
3;115;115;800000000
3;110;105;1100000000
3;170;180;2200000000
3;230;282;2700000000
4;300;181;3800000000
2;45;116;525000000
2;66;58;1268900000
2;57;66;1100000000
2;52;60;532000000
3;160;198;2700000000
3;120;372;1600000000
3;50;71;629990000
2;70;84;595000000
2;36;72;383000000
15;200;285;2750000000
3;130;145;1300000000
2;65;60;398000000
4;250;196;4250000000
5;277;371;2300000000
4;220;140;2350000000
3;126;97;1300000000
5;400;681;4900000000
4;500;700;13500000000
3;54;101;961360000
3;140;97;2350000000
5;350;216;4750000000
2;36;66;525000000
4;240;252;3250000000
2;36;72;250000000
6;350;229;2300000000
4;350;925;4500000000
5;250;148;3000000000
4;180;185;2500000000
2;50;72;475000000
2;30;66;424990000
5;200;400;4100000000
2;111;66;650000000
2;63;70;650000000
3;350;136;3200000000
3;180;235;2900000000
3;140;75;1320000000
1;300;200;1200000000
4;97;162;1800000000
5;250;102;1000000000
4;108;202;1950000000
2;40;56;477000000
3;190;203;3700000000
2;100;212;700000000
3;110;132;2400000000
3;102;78;950000000
3;120;133;895000000
2;41;72;640000000
8;1500;15000;16000000000
5;154;526;2700000000
4;252;170;1950000000
2;60;72;537000000
4;133;120;1500000000
5;250;335;3500000000
3;200;86;2290000000
3;115;169;2400000000
8;510;420;13000000000
2;45;65;600000000
2;60;84;490000000
2;45;48;750000000
6;500;365;7000000000
3;50;72;459000000
2;38;77;398000000
7;250;314;3300000000
